Results of 
DepthFilter: -10000.0 - 0.0 meters
	
- - - - - - - - - - - - - - - - - - - -

(58.25, -155.14), mag = -1.30, depth = -3540.00, title = 101km ESE of King Salmon, Alaska
(38.82, -122.77), mag = 0.20, depth = -2000.00, title = 4km W of Cobb, CA
(33.46, -116.61), mag = 0.20, depth = -7090.00, title = 12km SSE of Anza, CA
(33.48, -116.80), mag = 0.20, depth = -6050.00, title = 8km NE of Aguanga, CA
(35.59, -117.54), mag = 0.20, depth = -5040.00, title = 13km ESE of Ridgecrest, CA
(33.50, -116.78), mag = 0.20, depth = -6830.00, title = 10km NE of Aguanga, CA
(37.65, -118.93), mag = 0.30, depth = -1810.00, title = 5km ENE of Mammoth Lakes, CA
(38.79, -122.77), mag = 0.30, depth = -1090.00, title = 2km NW of The Geysers, CA
(37.66, -118.85), mag = 0.30, depth = -2030.00, title = 12km ENE of Mammoth Lakes, CA
(40.47, -121.54), mag = 0.30, depth = -3230.00, title = 13km ESE of Viola, CA
(35.86, -117.70), mag = 0.30, depth = -5120.00, title = 20km ESE of Little Lake, CA
(38.84, -122.83), mag = 0.30, depth = -2000.00, title = 9km NW of The Geysers, CA
(37.63, -119.02), mag = 0.30, depth = -1160.00, title = 4km WSW of Mammoth Lakes, CA
(38.80, -122.82), mag = 0.30, depth = -3960.00, title = 6km WNW of The Geysers, CA
(35.86, -117.68), mag = 0.30, depth = -6080.00, title = 23km ESE of Little Lake, CA
(38.79, -122.81), mag = 0.30, depth = -3100.00, title = 5km WNW of The Geysers, CA
(38.79, -122.81), mag = 0.30, depth = -3500.00, title = 5km WNW of The Geysers, CA
(38.79, -122.81), mag = 0.30, depth = -3290.00, title = 5km WNW of The Geysers, CA
(38.79, -122.81), mag = 0.30, depth = -2960.00, title = 5km WNW of The Geysers, CA
(38.79, -122.81), mag = 0.30, depth = -2590.00, title = 5km WNW of The Geysers, CA
(37.66, -118.85), mag = 0.30, depth = -2050.00, title = 12km ENE of Mammoth Lakes, CA
(33.27, -115.63), mag = 0.30, depth = -1700.00, title = 11km WNW of Niland, CA
(38.79, -122.77), mag = 0.30, depth = -1690.00, title = 2km NW of The Geysers, CA
(33.50, -116.55), mag = 0.30, depth = -6730.00, title = 13km ESE of Anza, CA
(37.66, -118.91), mag = 0.30, depth = -1820.00, title = 7km ENE of Mammoth Lakes, CA
(37.60, -119.00), mag = 0.30, depth = -1240.00, title = 5km SSW of Mammoth Lakes, CA
(37.66, -118.85), mag = 0.30, depth = -1550.00, title = 12km ENE of Mammoth Lakes, CA
(38.81, -122.82), mag = 0.30, depth = -3230.00, title = 6km WNW of The Geysers, CA
(37.66, -118.85), mag = 0.30, depth = -2040.00, title = 12km ENE of Mammoth Lakes, CA
(38.81, -122.82), mag = 0.30, depth = -3350.00, title = 6km WNW of The Geysers, CA
(38.80, -122.80), mag = 0.30, depth = -3690.00, title = 5km WNW of The Geysers, CA
(38.82, -122.82), mag = 0.30, depth = -2980.00, title = 7km NW of The Geysers, CA
(38.84, -122.81), mag = 0.30, depth = -1750.00, title = 8km WNW of Cobb, CA
(38.80, -122.82), mag = 0.30, depth = -3130.00, title = 6km WNW of The Geysers, CA
(38.79, -122.74), mag = 0.30, depth = -1590.00, title = 2km ENE of The Geysers, CA
(37.65, -119.04), mag = 0.40, depth = -90.00, title = 6km WNW of Mammoth Lakes, CA
(33.49, -116.79), mag = 0.40, depth = -2750.00, title = 9km NE of Aguanga, CA
(37.67, -118.85), mag = 0.40, depth = -2440.00, title = 12km ENE of Mammoth Lakes, CA
(33.49, -116.79), mag = 0.40, depth = -6220.00, title = 9km NE of Aguanga, CA
(35.93, -117.71), mag = 0.40, depth = -6660.00, title = 18km E of Little Lake, CA
(35.86, -117.70), mag = 0.40, depth = -4820.00, title = 21km ESE of Little Lake, CA
(38.81, -122.77), mag = 0.40, depth = -490.00, title = 4km NNW of The Geysers, CA
(37.64, -118.87), mag = 0.40, depth = -4540.00, title = 9km E of Mammoth Lakes, CA
(38.79, -122.75), mag = 0.40, depth = -1900.00, title = 2km NNE of The Geysers, CA
(35.68, -117.55), mag = 0.40, depth = -9130.00, title = 13km ENE of Ridgecrest, CA
(38.83, -122.80), mag = 0.40, depth = -1920.00, title = 7km W of Cobb, CA
(38.80, -122.81), mag = 0.40, depth = -3380.00, title = 5km WNW of The Geysers, CA
(33.60, -116.80), mag = 0.40, depth = -4710.00, title = 13km WNW of Anza, CA
(35.87, -117.66), mag = 0.40, depth = -4960.00, title = 24km ESE of Little Lake, CA
(33.50, -116.77), mag = 0.40, depth = -2300.00, title = 11km NE of Aguanga, CA
(35.70, -117.48), mag = 0.40, depth = -2570.00, title = 10km SW of Searles Valley, CA
(35.82, -117.66), mag = 0.40, depth = -8320.00, title = 22km N of Ridgecrest, CA
(35.95, -117.70), mag = 0.40, depth = -4180.00, title = 18km E of Little Lake, CA
(38.83, -122.80), mag = 0.50, depth = -1560.00, title = 7km W of Cobb, CA
(35.90, -117.72), mag = 0.50, depth = -4790.00, title = 17km ESE of Little Lake, CA
(33.48, -116.56), mag = 0.50, depth = -9570.00, title = 13km SE of Anza, CA
(35.96, -117.66), mag = 0.50, depth = -3840.00, title = 22km E of Little Lake, CA
(35.74, -117.59), mag = 0.50, depth = -8310.00, title = 16km NNE of Ridgecrest, CA
(35.94, -117.70), mag = 0.50, depth = -4890.00, title = 19km E of Little Lake, CA
(33.59, -116.81), mag = 0.50, depth = -5450.00, title = 13km WNW of Anza, CA
(35.87, -117.71), mag = 0.50, depth = -5830.00, title = 20km ESE of Little Lake, CA
(40.47, -121.55), mag = 0.50, depth = -2830.00, title = 12km ESE of Viola, CA
(35.69, -117.51), mag = 0.50, depth = -3180.00, title = 13km SW of Searles Valley, CA
(33.59, -116.81), mag = 0.50, depth = -6260.00, title = 13km WNW of Anza, CA
(40.47, -121.54), mag = 0.50, depth = -3140.00, title = 12km N of Mineral, CA
(37.57, -118.83), mag = 0.50, depth = -6530.00, title = 13km W of Toms Place, CA
(38.80, -122.73), mag = 0.50, depth = -10.00, title = 3km SSW of Cobb, CA
(38.81, -122.77), mag = 0.50, depth = -520.00, title = 4km NNW of The Geysers, CA
(35.90, -117.74), mag = 0.50, depth = -9040.00, title = 16km ESE of Little Lake, CA
(35.85, -117.67), mag = 0.50, depth = -4860.00, title = 24km ESE of Little Lake, CA
(33.59, -116.80), mag = 0.50, depth = -6130.00, title = 13km WNW of Anza, CA
(33.53, -116.72), mag = 0.50, depth = -4030.00, title = 6km SW of Anza, CA
(33.49, -116.79), mag = 0.50, depth = -6650.00, title = 8km NE of Aguanga, CA
(35.87, -117.69), mag = 0.50, depth = -7530.00, title = 21km ESE of Little Lake, CA
(37.52, -118.86), mag = 0.50, depth = -5370.00, title = 16km SE of Mammoth Lakes, CA
(38.79, -122.77), mag = 0.50, depth = -1680.00, title = 2km NW of The Geysers, CA
(33.49, -116.79), mag = 0.50, depth = -1980.00, title = 9km NE of Aguanga, CA
(37.65, -118.94), mag = 0.50, depth = -1400.00, title = 4km ENE of Mammoth Lakes, CA
(33.49, -116.80), mag = 0.50, depth = -6040.00, title = 8km NE of Aguanga, CA
(33.49, -116.49), mag = 0.60, depth = -8100.00, title = 18km ESE of Anza, CA
(33.30, -116.19), mag = 0.60, depth = -6750.00, title = 18km ENE of Borrego Springs, CA
(38.84, -122.83), mag = 0.60, depth = -1650.00, title = 9km NW of The Geysers, CA
(38.81, -122.80), mag = 0.60, depth = -3760.00, title = 5km NW of The Geysers, CA
(38.82, -122.84), mag = 0.60, depth = -2170.00, title = 9km NW of The Geysers, CA
(38.82, -122.81), mag = 0.60, depth = -1890.00, title = 7km NW of The Geysers, CA
(40.38, -121.41), mag = 0.60, depth = -4490.00, title = 14km ENE of Mineral, CA
(38.83, -122.81), mag = 0.60, depth = -2240.00, title = 8km NW of The Geysers, CA
(38.84, -122.83), mag = 0.60, depth = -2210.00, title = 9km NW of The Geysers, CA
(38.79, -122.76), mag = 0.60, depth = -1110.00, title = 1km NNW of The Geysers, CA
(37.54, -118.87), mag = 0.60, depth = -5790.00, title = 14km SE of Mammoth Lakes, CA
(38.75, -122.72), mag = 0.60, depth = -1740.00, title = 4km SW of Anderson Springs, CA
(38.81, -122.83), mag = 0.60, depth = -1810.00, title = 7km WNW of The Geysers, CA
(35.86, -117.68), mag = 0.60, depth = -6520.00, title = 22km ESE of Little Lake, CA
(38.84, -122.84), mag = 0.60, depth = -1280.00, title = 10km NW of The Geysers, CA
(38.79, -122.77), mag = 0.60, depth = -1360.00, title = 2km NW of The Geysers, CA
(37.54, -118.86), mag = 0.60, depth = -6230.00, title = 15km SE of Mammoth Lakes, CA
(33.48, -116.46), mag = 0.60, depth = -9400.00, title = 22km ESE of Anza, CA
(38.83, -122.81), mag = 0.60, depth = -2180.00, title = 7km NW of The Geysers, CA
(38.83, -122.81), mag = 0.60, depth = -2140.00, title = 8km NW of The Geysers, CA
(38.83, -122.81), mag = 0.60, depth = -2000.00, title = 8km W of Cobb, CA
(38.79, -122.77), mag = 0.60, depth = -1570.00, title = 2km NW of The Geysers, CA
(34.05, -117.25), mag = 0.60, depth = -6900.00, title = 1km E of Loma Linda, CA
(38.82, -122.81), mag = 0.60, depth = -1450.00, title = 6km NW of The Geysers, CA
(35.95, -117.68), mag = 0.60, depth = -3140.00, title = 21km E of Little Lake, CA
(38.81, -122.81), mag = 0.60, depth = -2100.00, title = 6km NW of The Geysers, CA
(33.52, -116.46), mag = 0.60, depth = -6250.00, title = 21km ESE of Anza, CA
(35.96, -117.75), mag = 0.60, depth = -7060.00, title = 14km E of Little Lake, CA
(38.84, -122.84), mag = 0.60, depth = -1620.00, title = 10km NW of The Geysers, CA
(35.74, -117.53), mag = 0.60, depth = -4060.00, title = 12km WSW of Searles Valley, CA
(38.13, -122.43), mag = 0.60, depth = -7070.00, title = 7km ENE of Black Point-Green Point, CA
(33.50, -116.79), mag = 0.60, depth = -5140.00, title = 9km NE of Aguanga, CA
(38.78, -122.75), mag = 0.60, depth = -290.00, title = 1km NE of The Geysers, CA
(35.69, -117.41), mag = 0.60, depth = -4220.00, title = 9km SSW of Trona, CA
(38.81, -122.83), mag = 0.60, depth = -1710.00, title = 7km WNW of The Geysers, CA
(38.82, -122.84), mag = 0.60, depth = -1700.00, title = 9km NW of The Geysers, CA
(38.82, -122.81), mag = 0.60, depth = -2400.00, title = 7km NW of The Geysers, CA
(36.11, -117.87), mag = 0.60, depth = -2430.00, title = 10km NE of Coso Junction, CA
(37.66, -118.85), mag = 0.60, depth = -2900.00, title = 12km ENE of Mammoth Lakes, CA
(38.80, -122.74), mag = 0.60, depth = -840.00, title = 3km SSW of Cobb, CA
(38.79, -122.76), mag = 0.60, depth = -850.00, title = 2km N of The Geysers, CA
(37.66, -118.84), mag = 0.60, depth = -1990.00, title = 12km ENE of Mammoth Lakes, CA
(38.82, -122.77), mag = 0.60, depth = -2510.00, title = 4km W of Cobb, CA
(38.83, -122.81), mag = 0.60, depth = -2110.00, title = 8km W of Cobb, CA
(35.82, -117.66), mag = 0.60, depth = -8350.00, title = 22km N of Ridgecrest, CA
(38.83, -122.82), mag = 0.60, depth = -1880.00, title = 8km NW of The Geysers, CA
(38.83, -122.81), mag = 0.60, depth = -2100.00, title = 8km W of Cobb, CA
(37.62, -118.83), mag = 0.60, depth = -3510.00, title = 13km E of Mammoth Lakes, CA
(38.83, -122.81), mag = 0.60, depth = -1920.00, title = 8km NW of The Geysers, CA
(38.81, -122.82), mag = 0.60, depth = -2120.00, title = 7km WNW of The Geysers, CA
(35.87, -117.67), mag = 0.60, depth = -9590.00, title = 23km ESE of Little Lake, CA
(38.81, -122.83), mag = 0.60, depth = -950.00, title = 7km WNW of The Geysers, CA
(35.61, -117.44), mag = 0.60, depth = -9580.00, title = 18km SSW of Searles Valley, CA
(35.91, -117.68), mag = 0.60, depth = -4100.00, title = 21km E of Little Lake, CA
(38.83, -122.82), mag = 0.60, depth = -2090.00, title = 8km NW of The Geysers, CA
(38.82, -122.80), mag = 0.60, depth = -2480.00, title = 6km NW of The Geysers, CA
(35.93, -117.70), mag = 0.60, depth = -4550.00, title = 18km E of Little Lake, CA
(36.01, -120.58), mag = 0.60, depth = -2850.00, title = 18km NW of Parkfield, CA
(33.59, -116.81), mag = 0.60, depth = -4810.00, title = 13km WNW of Anza, CA
(38.84, -122.84), mag = 0.60, depth = -1710.00, title = 10km NW of The Geysers, CA
(35.69, -117.54), mag = 0.60, depth = -2990.00, title = 15km SW of Searles Valley, CA
(38.81, -122.82), mag = 0.60, depth = -2520.00, title = 7km WNW of The Geysers, CA
(33.52, -116.74), mag = 0.60, depth = -3760.00, title = 7km WSW of Anza, CA
(35.70, -117.54), mag = 0.60, depth = -2810.00, title = 14km WSW of Searles Valley, CA
(35.91, -117.71), mag = 0.60, depth = -1870.00, title = 18km E of Little Lake, CA
(38.84, -122.82), mag = 0.60, depth = -1800.00, title = 9km WNW of Cobb, CA
(33.50, -116.77), mag = 0.60, depth = -2620.00, title = 11km ENE of Aguanga, CA
(33.60, -116.80), mag = 0.60, depth = -4670.00, title = 13km WNW of Anza, CA
(33.52, -116.74), mag = 0.60, depth = -3850.00, title = 7km SW of Anza, CA
(37.58, -118.87), mag = 0.60, depth = -1310.00, title = 11km ESE of Mammoth Lakes, CA
(38.79, -122.80), mag = 0.60, depth = -3410.00, title = 4km WNW of The Geysers, CA
(36.18, -118.16), mag = 0.60, depth = -6600.00, title = 17km SW of Olancha, CA
(38.83, -122.81), mag = 0.60, depth = -2220.00, title = 8km W of Cobb, CA
(37.31, -122.18), mag = 0.60, depth = -6250.00, title = 8km WSW of Loyola, CA
(33.98, -116.92), mag = 0.60, depth = -6520.00, title = 7km NE of Beaumont, CA
(38.83, -122.82), mag = 0.60, depth = -1250.00, title = 8km NW of The Geysers, CA
(38.81, -122.83), mag = 0.60, depth = -2440.00, title = 7km WNW of The Geysers, CA
(38.83, -122.82), mag = 0.60, depth = -1510.00, title = 8km NW of The Geysers, CA
(38.81, -122.82), mag = 0.60, depth = -2460.00, title = 7km WNW of The Geysers, CA
(35.89, -117.70), mag = 0.60, depth = -5300.00, title = 20km ESE of Little Lake, CA
(38.84, -122.84), mag = 0.70, depth = -1860.00, title = 10km NW of The Geysers, CA
(33.49, -116.80), mag = 0.70, depth = -7690.00, title = 8km NE of Aguanga, CA
(37.66, -118.85), mag = 0.70, depth = -1760.00, title = 12km ENE of Mammoth Lakes, CA
(35.86, -117.68), mag = 0.70, depth = -8060.00, title = 22km ESE of Little Lake, CA
(33.33, -116.40), mag = 0.70, depth = -5650.00, title = 8km NNW of Borrego Springs, CA
(36.11, -117.86), mag = 0.70, depth = -3560.00, title = 11km NE of Coso Junction, CA
(36.11, -117.87), mag = 0.70, depth = -2280.00, title = 10km NE of Coso Junction, CA
(36.13, -117.87), mag = 0.70, depth = -5070.00, title = 12km NE of Coso Junction, CA
(35.74, -117.57), mag = 0.70, depth = -3000.00, title = 15km WSW of Searles Valley, CA
(38.79, -122.77), mag = 0.70, depth = -1170.00, title = 2km NW of The Geysers, CA
(38.77, -122.72), mag = 0.70, depth = -2100.00, title = 2km W of Anderson Springs, CA
(36.09, -117.89), mag = 0.70, depth = -1590.00, title = 7km NE of Coso Junction, CA
(34.04, -117.23), mag = 0.70, depth = -640.00, title = 3km ESE of Loma Linda, CA
(35.90, -117.66), mag = 0.70, depth = -9450.00, title = 23km ESE of Little Lake, CA
(35.67, -117.50), mag = 0.70, depth = -9570.00, title = 14km SW of Searles Valley, CA
(38.82, -122.79), mag = 0.70, depth = -1530.00, title = 6km NNW of The Geysers, CA
(38.78, -122.72), mag = 0.70, depth = -1900.00, title = 3km WNW of Anderson Springs, CA
(38.76, -122.71), mag = 0.70, depth = -1630.00, title = 2km WSW of Anderson Springs, CA
(36.02, -117.77), mag = 0.70, depth = -1760.00, title = 15km NE of Little Lake, CA
(36.11, -117.86), mag = 0.70, depth = -2660.00, title = 10km NE of Coso Junction, CA
(38.76, -122.72), mag = 0.70, depth = -1250.00, title = 3km SW of Anderson Springs, CA
(37.66, -118.85), mag = 0.70, depth = -1840.00, title = 12km ENE of Mammoth Lakes, CA
(35.82, -117.67), mag = 0.70, depth = -4080.00, title = 22km N of Ridgecrest, CA
(38.79, -122.81), mag = 0.70, depth = -2860.00, title = 5km WNW of The Geysers, CA
(36.10, -117.87), mag = 0.70, depth = -2030.00, title = 10km NE of Coso Junction, CA
(36.02, -117.78), mag = 0.70, depth = -1910.00, title = 15km NE of Little Lake, CA
(36.10, -117.86), mag = 0.70, depth = -2720.00, title = 10km NE of Coso Junction, CA
(33.49, -116.79), mag = 0.70, depth = -4540.00, title = 8km NE of Aguanga, CA
(33.18, -115.60), mag = 0.70, depth = -2330.00, title = 10km NW of Calipatria, CA
(37.51, -121.84), mag = 0.70, depth = -4100.00, title = 11km NE of Milpitas, CA
(37.64, -118.88), mag = 0.70, depth = -3910.00, title = 9km E of Mammoth Lakes, CA
(35.68, -117.52), mag = 0.70, depth = -4410.00, title = 14km SW of Searles Valley, CA
(36.03, -117.78), mag = 0.70, depth = -1680.00, title = 16km E of Coso Junction, CA
(38.75, -122.73), mag = 0.70, depth = -1970.00, title = 4km SSE of The Geysers, CA
(34.15, -118.17), mag = 0.70, depth = -3130.00, title = 3km W of Pasadena, CA
(35.90, -117.69), mag = 0.70, depth = -2380.00, title = 20km ESE of Little Lake, CA
(35.90, -117.68), mag = 0.70, depth = -2890.00, title = 21km E of Little Lake, CA
(35.85, -117.71), mag = 0.70, depth = -5610.00, title = 20km ESE of Little Lake, CA
(37.66, -118.85), mag = 0.70, depth = -2590.00, title = 11km ENE of Mammoth Lakes, CA
(35.65, -117.45), mag = 0.70, depth = -8470.00, title = 14km SSW of Searles Valley, CA
(36.05, -117.87), mag = 0.70, depth = -2460.00, title = 7km E of Coso Junction, CA
(37.66, -118.85), mag = 0.70, depth = -1540.00, title = 12km ENE of Mammoth Lakes, CA
(33.13, -116.39), mag = 0.70, depth = -6430.00, title = 14km S of Borrego Springs, CA
(35.69, -117.54), mag = 0.70, depth = -9410.00, title = 14km ENE of Ridgecrest, CA
(38.82, -122.81), mag = 0.70, depth = -2800.00, title = 7km NW of The Geysers, CA
(35.87, -117.71), mag = 0.70, depth = -9320.00, title = 19km ESE of Little Lake, CA
(33.98, -116.93), mag = 0.70, depth = -6100.00, title = 7km NE of Beaumont, CA
(33.97, -116.92), mag = 0.70, depth = -4470.00, title = 7km NW of Banning, CA
(33.97, -116.92), mag = 0.70, depth = -4310.00, title = 6km NW of Banning, CA
(33.97, -116.92), mag = 0.70, depth = -5840.00, title = 7km NW of Banning, CA
(33.98, -116.92), mag = 0.70, depth = -5020.00, title = 7km NE of Beaumont, CA
(33.98, -116.93), mag = 0.70, depth = -4260.00, title = 7km NE of Beaumont, CA
(35.87, -117.71), mag = 0.70, depth = -3440.00, title = 20km ESE of Little Lake, CA
(33.98, -116.93), mag = 0.70, depth = -5660.00, title = 7km NE of Beaumont, CA
(35.85, -117.66), mag = 0.70, depth = -7060.00, title = 24km ESE of Little Lake, CA
(38.82, -122.81), mag = 0.70, depth = -2640.00, title = 7km NW of The Geysers, CA
(35.87, -117.66), mag = 0.80, depth = -5600.00, title = 24km ESE of Little Lake, CA
(38.82, -122.82), mag = 0.80, depth = -2590.00, title = 7km NW of The Geysers, CA
(38.82, -122.78), mag = 0.80, depth = -2080.00, title = 5km NNW of The Geysers, CA
(38.79, -122.75), mag = 0.80, depth = -2310.00, title = 2km NNE of The Geysers, CA
(38.83, -122.85), mag = 0.80, depth = -2370.00, title = 10km WNW of The Geysers, CA
(38.81, -122.77), mag = 0.80, depth = -1090.00, title = 4km NNW of The Geysers, CA
(35.83, -117.64), mag = 0.80, depth = -7930.00, title = 23km WNW of Searles Valley, CA
(34.34, -116.85), mag = 0.80, depth = -2110.00, title = 9km N of Big Bear City, CA
(34.04, -117.23), mag = 0.80, depth = -1530.00, title = 3km ESE of Loma Linda, CA
(38.83, -122.80), mag = 0.80, depth = -1230.00, title = 6km W of Cobb, CA
(34.28, -117.05), mag = 0.80, depth = -3170.00, title = 10km NNE of Running Springs, CA
(34.03, -117.24), mag = 0.80, depth = -2970.00, title = 3km SE of Loma Linda, CA
(35.66, -117.45), mag = 0.80, depth = -3600.00, title = 12km SSW of Searles Valley, CA
(37.66, -118.85), mag = 0.80, depth = -2460.00, title = 11km ENE of Mammoth Lakes, CA
(36.11, -117.86), mag = 0.80, depth = -3280.00, title = 11km NE of Coso Junction, CA
(33.00, -116.43), mag = 0.80, depth = -9630.00, title = 18km ESE of Julian, CA
(38.81, -122.82), mag = 0.80, depth = -2260.00, title = 6km NW of The Geysers, CA
(36.10, -117.88), mag = 0.80, depth = -4990.00, title = 9km NE of Coso Junction, CA
(35.89, -117.73), mag = 0.80, depth = -7990.00, title = 17km ESE of Little Lake, CA
(38.80, -122.81), mag = 0.80, depth = -3330.00, title = 5km WNW of The Geysers, CA
(38.79, -122.76), mag = 0.80, depth = -840.00, title = 1km NNW of The Geysers, CA
(33.01, -116.28), mag = 0.80, depth = -4450.00, title = 20km SW of Ocotillo Wells, CA
(35.71, -117.54), mag = 0.80, depth = -3860.00, title = 14km WSW of Searles Valley, CA
(38.83, -122.76), mag = 0.80, depth = -230.00, title = 4km WNW of Cobb, CA
(35.90, -117.74), mag = 0.80, depth = -8630.00, title = 15km ESE of Little Lake, CA
(36.03, -117.82), mag = 0.80, depth = -1040.00, title = 12km E of Coso Junction, CA
(38.83, -122.82), mag = 0.80, depth = -1530.00, title = 8km NW of The Geysers, CA
(37.37, -121.72), mag = 0.80, depth = -8850.00, title = 9km E of Alum Rock, CA
(37.66, -118.85), mag = 0.80, depth = -2180.00, title = 11km ENE of Mammoth Lakes, CA
(35.91, -117.73), mag = 0.80, depth = -8400.00, title = 16km E of Little Lake, CA
(36.11, -117.86), mag = 0.80, depth = -2630.00, title = 10km NE of Coso Junction, CA
(37.50, -118.85), mag = 0.80, depth = -4870.00, title = 16km WSW of Toms Place, CA
(35.71, -117.56), mag = 0.80, depth = -7930.00, title = 14km NE of Ridgecrest, CA
(36.11, -117.86), mag = 0.80, depth = -2250.00, title = 11km NE of Coso Junction, CA
(38.81, -122.81), mag = 0.80, depth = -1470.00, title = 6km NW of The Geysers, CA
(38.79, -122.81), mag = 0.80, depth = -3360.00, title = 5km WNW of The Geysers, CA
(35.86, -117.69), mag = 0.80, depth = -8350.00, title = 21km ESE of Little Lake, CA
(38.82, -122.78), mag = 0.80, depth = -1690.00, title = 5km W of Cobb, CA
(38.79, -122.81), mag = 0.80, depth = -3800.00, title = 5km WNW of The Geysers, CA
(35.92, -117.67), mag = 0.80, depth = -8990.00, title = 22km E of Little Lake, CA
(35.84, -117.68), mag = 0.80, depth = -6250.00, title = 23km ESE of Little Lake, CA
(38.79, -122.81), mag = 0.80, depth = -2810.00, title = 5km WNW of The Geysers, CA
(35.89, -117.74), mag = 0.80, depth = -7330.00, title = 16km ESE of Little Lake, CA
(33.49, -116.80), mag = 0.80, depth = -5310.00, title = 8km NE of Aguanga, CA
(35.91, -117.70), mag = 0.80, depth = -1860.00, title = 19km E of Little Lake, CA
(36.11, -117.87), mag = 0.80, depth = -2290.00, title = 10km NE of Coso Junction, CA
(38.81, -122.82), mag = 0.80, depth = -2610.00, title = 7km NW of The Geysers, CA
(37.56, -118.99), mag = 0.80, depth = 0.00, title = 9km S of Mammoth Lakes, CA
(34.00, -117.17), mag = 0.80, depth = -7680.00, title = 6km S of Redlands, CA
(37.49, -118.85), mag = 0.80, depth = -2600.00, title = 17km WSW of Toms Place, CA
(37.66, -118.85), mag = 0.80, depth = -2370.00, title = 12km ENE of Mammoth Lakes, CA
(35.93, -117.70), mag = 0.80, depth = -2940.00, title = 19km E of Little Lake, CA
(38.83, -122.82), mag = 0.80, depth = -1700.00, title = 8km NW of The Geysers, CA
(38.80, -122.81), mag = 0.80, depth = -2800.00, title = 5km WNW of The Geysers, CA
(38.80, -122.82), mag = 0.80, depth = -2390.00, title = 6km WNW of The Geysers, CA
(37.07, -121.21), mag = 0.80, depth = -4950.00, title = 28km SW of Gustine, CA
(35.86, -117.68), mag = 0.80, depth = -6810.00, title = 22km ESE of Little Lake, CA
(38.82, -122.81), mag = 0.80, depth = -1630.00, title = 7km NW of The Geysers, CA
(35.69, -117.56), mag = 0.80, depth = -9830.00, title = 13km NE of Ridgecrest, CA
(38.79, -122.77), mag = 0.80, depth = -1590.00, title = 1km NW of The Geysers, CA
(35.70, -117.55), mag = 0.80, depth = -2650.00, title = 15km NE of Ridgecrest, CA
(38.80, -122.78), mag = 0.80, depth = -3200.00, title = 3km NW of The Geysers, CA
(36.13, -117.85), mag = 0.80, depth = -4400.00, title = 13km NE of Coso Junction, CA
(33.97, -116.93), mag = 0.80, depth = -4720.00, title = 6km NE of Beaumont, CA
(35.80, -117.62), mag = 0.80, depth = -3480.00, title = 20km W of Searles Valley, CA
(35.64, -117.45), mag = 0.80, depth = -4940.00, title = 14km SSW of Searles Valley, CA
(38.82, -122.79), mag = 0.80, depth = -2530.00, title = 6km W of Cobb, CA
(38.82, -122.81), mag = 0.80, depth = -2700.00, title = 7km NW of The Geysers, CA
(33.98, -116.94), mag = 0.80, depth = -7220.00, title = 7km NNE of Beaumont, CA
(33.98, -116.93), mag = 0.80, depth = -4580.00, title = 7km NE of Beaumont, CA
(35.63, -117.47), mag = 0.80, depth = -8540.00, title = 17km SSW of Searles Valley, CA
(35.78, -117.60), mag = 0.80, depth = -4310.00, title = 18km W of Searles Valley, CA
(36.07, -117.46), mag = 0.80, depth = -5560.00, title = 34km N of Searles Valley, CA
(37.35, -121.63), mag = 0.90, depth = -5620.00, title = 17km E of Alum Rock, CA
(38.83, -122.81), mag = 0.90, depth = -1530.00, title = 8km W of Cobb, CA
(38.82, -122.81), mag = 0.90, depth = -2650.00, title = 6km NW of The Geysers, CA
(35.88, -117.67), mag = 0.90, depth = -2500.00, title = 22km ESE of Little Lake, CA
(40.36, -121.36), mag = 0.90, depth = -4320.00, title = 12km WNW of Chester, CA
(37.48, -118.73), mag = 0.90, depth = -2840.00, title = 10km SSW of Toms Place, CA
(37.50, -118.72), mag = 0.90, depth = -4600.00, title = 8km SSW of Toms Place, CA
(38.79, -122.81), mag = 0.90, depth = -3170.00, title = 5km WNW of The Geysers, CA
(33.19, -115.60), mag = 0.90, depth = -1940.00, title = 9km SW of Niland, CA
(38.79, -122.77), mag = 0.90, depth = -1290.00, title = 2km NW of The Geysers, CA
(35.40, -117.83), mag = 0.90, depth = -6700.00, title = 18km W of Johannesburg, CA
(35.96, -117.71), mag = 0.90, depth = -6660.00, title = 18km E of Little Lake, CA
(34.05, -117.25), mag = 0.90, depth = -1470.00, title = 1km ESE of Loma Linda, CA
(38.84, -122.83), mag = 0.90, depth = -2040.00, title = 9km WNW of Cobb, CA
(36.11, -117.86), mag = 0.90, depth = -1950.00, title = 10km NE of Coso Junction, CA
(35.88, -117.70), mag = 0.90, depth = -8600.00, title = 20km ESE of Little Lake, CA
(34.04, -117.58), mag = 0.90, depth = -9310.00, title = 5km ESE of Ontario, CA
(38.08, -122.26), mag = 0.90, depth = -6210.00, title = 4km SSW of Vallejo, CA
(35.97, -117.50), mag = 0.90, depth = -3790.00, title = 24km NNW of Searles Valley, CA
(38.83, -122.80), mag = 0.90, depth = -2210.00, title = 6km WNW of Cobb, CA
(35.80, -117.61), mag = 0.90, depth = -5550.00, title = 19km W of Searles Valley, CA
(35.89, -117.74), mag = 0.90, depth = -8470.00, title = 16km ESE of Little Lake, CA
(38.84, -122.80), mag = 0.90, depth = -1850.00, title = 6km WNW of Cobb, CA
(38.79, -122.81), mag = 0.90, depth = -3290.00, title = 5km WNW of The Geysers, CA
